index,name,isin,url,keyword,sheet
17,Albion Enterprise VCT plc Ordinary 1p,GB00B1G3LR35,https://www.hl.co.uk/shares/shares-search-results/a/albion-enterprise-vct-plc-ordinary-1p,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
37,Bankers Investment Trust Ordinary 2.5p,GB00BN4NDR39,https://www.hl.co.uk/shares/shares-search-results/b/bankers-investment-trust-ordinary-2.5p,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
57,British & American Inv Tst plc Ord Shs GBP1,GB0000653112,https://www.hl.co.uk/shares/shares-search-results/b/british-and-american-inv-tst-plc-ord-shs-gbp1,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
77,Crystal Amber Fund Ltd Ordinary 1p,GG00B1Z2SL48,https://www.hl.co.uk/shares/shares-search-results/c/crystal-amber-fund-ltd-ordinary-1p,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
97,European Opportunities Trust ORD GBP0.01,GB0000197722,https://www.hl.co.uk/shares/shares-search-results/e/european-opportunities-trust-ord-gbp0.01,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
117,Global Opportunities Trust plc Ord GBP0.01,GB0033862573,https://www.hl.co.uk/shares/shares-search-results/g/global-opportunities-trust-plc-ord-gbp0.01,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
137,Henderson Smaller Cos I.T. Ord 25p,GB0009065060,https://www.hl.co.uk/shares/shares-search-results/h/henderson-smaller-cos-i.t.-ord-25p,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
157,"JPMorgan Emerging Europe, Middle East & Afr",GB0032164732,"https://www.hl.co.uk/shares/shares-search-results/j/jpmorgan-emerging-europe,-middle-east-and-afr","This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
177,Macau Property Opp Fund USD0.01,GG00BGDYFV61,https://www.hl.co.uk/shares/shares-search-results/m/macau-property-opp-fund-usd0.01,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
197,Murray International Trust plc ORD GBP0.05,GB00BQZCCB79,https://www.hl.co.uk/shares/shares-search-results/m/murray-international-trust-plc-ord-gbp0.05,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
217,Oryx International Growth Fund Ord 50p,GG00B3BTVQ94,https://www.hl.co.uk/shares/shares-search-results/o/oryx-international-growth-fund-ord-50p,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
237,Praetura Growth VCT plc ORD GBP0.01,GB00BL690L89,https://www.hl.co.uk/shares/shares-search-results/p/praetura-growth-vct-plc-ord-gbp0.01,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
257,Schroder Asian Total Return Inv Co Ord 5p,GB0008710799,https://www.hl.co.uk/shares/shares-search-results/s/schroder-asian-total-return-inv-co-ord-5p,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
277,Sherborne Investors C Ord NPV,GG00BZ3C3B94,https://www.hl.co.uk/shares/shares-search-results/s/sherborne-investors-c-ord-npv,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
297,US Solar Fund Plc ORD USD0.01 (GBP),GB00BJCWFX49,https://www.hl.co.uk/shares/shares-search-results/u/us-solar-fund-plc-ord-usd0.01-gbp,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",Investment
