index,name,isin,url,keyword,sheet
6,Amundi CAC 40 (DR) UCITS ETF Dist,FR0007052782,https://www.hl.co.uk/shares/shares-search-results/a/amundi-cac-40-dr-ucits-etf-dist,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",ETF
26,Amundi FTSE 100 UCITS ETF - Acc,LU1650492173,https://www.hl.co.uk/shares/shares-search-results/a/amundi-ftse-100-ucits-etf-acc,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",ETF
46,Amundi MSCI Eastern Europe ex Russia UCITS,LU1900066462,https://www.hl.co.uk/shares/shares-search-results/a/amundi-msci-eastern-europe-ex-russia-ucits,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",ETF
66,Amundi ETF MSCI Spain UCITS ETF,FR0010655746,https://www.hl.co.uk/shares/shares-search-results/a/amundi-etf-msci-spain-ucits-etf,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",ETF
86,Amundi S&P Eurozone ESG Dividend Aristocrat,LU0959210278,https://www.hl.co.uk/shares/shares-search-results/a/amundi-s-and-p-eurozone-esg-dividend-aristocrat,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",ETF
106,Amundi Prime Global UCITS ETF Dist (GBP),IE000QIF5N15,https://www.hl.co.uk/shares/shares-search-results/a/amundi-prime-global-ucits-etf-dist-gbp,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",ETF
126,Avantis Global Equity UCITS ETF Acc,IE000RJECXS5,https://www.hl.co.uk/shares/shares-search-results/a/avantis-global-equity-ucits-etf-acc,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",ETF
146,Fidelity US Quality Income UCITS ETF Hedged,IE00BYV03C98,https://www.hl.co.uk/shares/shares-search-results/f/fidelity-us-quality-income-ucits-etf-hedged,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",ETF
166,First Trust Global US Equity Opportunities,IE00BYTH6238,https://www.hl.co.uk/shares/shares-search-results/f/first-trust-global-us-equity-opportunities,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",ETF
186,Global X Autonomous & Electric Vehicles,IE00BMH5YS76,https://www.hl.co.uk/shares/shares-search-results/g/global-x-autonomous-and-electric-vehicles,"This stock can be held in a Stocks and Shares ISA, Lifetime ISA, SIPP or Fund and Share Account",ETF
